pub_date	title	venue	excerpt	published	url_slug	paper_url	arxiv	
2023-05-05	Robust Data-Driven Accelerated Mirror Descent	IEEE International Conference on Acoustics, Speech and Signal Processing		TRUE	lamd	https://ieeexplore.ieee.org/abstract/document/10096875	https://arxiv.org/abs/2210.12238	
2023-06-26	Data-driven mirror descent with input-convex neural networks	SIAM Journal on Mathematics of Data Science		TRUE	icnn-md	https://epubs.siam.org/doi/full/10.1137/22M1508613	https://arxiv.org/abs/2206.06733	
2024-04-02	Provably convergent plug-and-play quasi-newton methods	SIAM Journal on Imaging Sciences		TRUE	pnp-qn	https://epubs.siam.org/doi/full/10.1137/23M157185X	https://arxiv.org/abs/2303.07271	
2024-10-30	Noise-Free Sampling Algorithms via Regularized Wasserstein Proximals	Research in Mathematical Sciences		TRUE	wass-prox	https://link.springer.com/article/10.1007/s40687-024-00479-2	https://arxiv.org/abs/2308.14945	
2024-05-09	Boosting Data-Driven Mirror Descent with Randomization, Equivariance, and Acceleration	Transactions on Machine Learning Research		TRUE	lmd-exts	https://openreview.net/forum?id=r2dx1s1lqG	https://arxiv.org/abs/2308.05045	
2024-08-13	Blessing of Dimensionality for Approximating Sobolev Classes on Manifolds			FALSE	dim-sobolev		https://arxiv.org/abs/2408.06996	
2024-11-18	Unsupervised approaches based on optimal transport and convex analysis for inverse problems in imaging	Radon Series on Computational and Applied Mathematics		TRUE	otca-invprob	https://www.degruyter.com/document/doi/10.1515/9783111251233/html?lang=en	https://arxiv.org/abs/2311.08972	
2024-12-13	Unsupervised Training of Convex Regularizers using Maximum Likelihood Estimation	Transactions on Machine Learning Research		TRUE	mle-regu	https://openreview.net/forum?id=375tU7Tn0S	https://arxiv.org/abs/2404.05445	
2025-01-15	Dataset Distillation as Pushforward Optimal Quantization			FALSE	ddoq		https://arxiv.org/abs/2501.07681	
2025-09-01	Preconditioned Regularized Wasserstein Proximal Sampling			FALSE	pbrwp		https://arxiv.org/abs/2509.01685	
2025-09-03	From Image Denoisers to Regularizing Imaging Inverse Problems: An Overview			FALSE	pnp-overview		https://arxiv.org/abs/2509.03475	